id,male,female
3420,10,3
527,7,70
10498,357,2498
34719,7,12
575,5,23
127164,4,12
2597,24,22
1559,65,90
10941,36,83
105392,15,6
72448,3,0
3299,28,46
29974,7,1
33728,4,2
37907,2,0
940,260,159
2922,305,744
3818,6,4
1549,58,50
2362,67,55
5977,53,148
10882,5,8
2046,2,15
23099,84,356
13855,161,290
1891,80,63
1933,126,61
1887158,2,12
26638,3,6
53679,1,16
33868,6,22
52932,15,45
4415,129,207
4074,27,85
567,16,98
24863,16,41
113272,0,29
9810,2,24
588,4,38
6624,38,289
9722,20,227
30650,8,67
30164,27,276
23591,2,66
30649,2,21
3485,9,78
515,56,448
12192,0,14
9732,3,83
14985,0,7
25905,3,46
1956,4,70
6461,4,24
30353,0,21
24029,1,18
31645,21,151
1179,5,0
3315,169,376
1904325,15,28
5878,2071,898
15759,931,883
113217,16,35
1900606,2,3
40231,15,336
2974350,390,426
8042,0,8
3417425,0,1
3410259,0,25
3417555,5,17
57377,0,11
1955567,0,52
3417527,0,2
1557,555,277
10466,39,82
1948916,2,5
11416,97,294
4616,183,191
3622,14,8
3424503,1,0
68647,0,16
12550,19,56
16598,422,713
899,22,104
4810,113,575
1075,98,136
1665,30,15
17901,13,17
9871,19,42
28206,91,271
5469,319,1232
7762,123,593
30027,7,43
5430,3,184
11483,81,429
8312,57,763
781,59,236
646,14,45
1559511,80,484
1559484,57,305
1206585,0,9
52447,11,8
54305,3,9
18552,16,15
1951,565,525
1916768,8,9
1949489,56,36
68546,0,1
1372,192,91
6322,13,19
16823,15,75
644,6,20
40250,9,4
15888,339,410
1900004,1,16
22903,92,425
6957,103,166
1958766,0,15
1915238,3,7
37946,37,33
5797,135,246
12349,34,153
4438,304,502
13327,27,6
24871,5,47
24869,8,83
562,103,934
35217,2,15
32343,7,9
582,57,391
13839,11,5
27690,5,6
18736,29,29
13788,4,10
3887,43,43
13768,21,19
27242,0,1
33846,5,9
14175,181,524
2903,30,228
9894,2,16
22881,56,122
22983,12,37
1311,82,272
22871,8,41
30253,97,359
32560,0,10
33290,1,34
1561,146,908
129957,12,11
13998,22,85
22920,10,16
2586,78,36
1542,8,3
11983,5,21
14022,107,340
735,1282,3160
1909386,5,43
776,376,362
2429,107,41
9781,280,2320
1913504,12,20
1913432,2,12
16669,21,43
1900770,40,30
16367,312,548
9366,46,13
1985,480,314
23737,114,120
2254,362,606
1902926,0,1
499,14,234
24274,157,1203
32339,5,14
8082,1,4
24912,113,447
1559514,5,17
1981,83,136
3599,4,3
1049,216,195
6378,47,65
13843,17,4
118040,91,277
13672,1,18
725,86,1109
3767,93,485
1352,99,51
6645,497,816
1913451,4,15
1938312,70,34
918,124,157
1054,88,103
38462,1,28
55424,0,3
40547,16,60
33698,5,16
7184,67,81
1211,212,43
30165,110,471
607,4512,21652
1940070,0,6
3251212,1,10
311352,0,5
15889,25,49
17471,32,53
1045,184,72
3251,26,21
1912940,10,44
127288,0,2
39457,6,14
1893629,0,2
1560011,2,4
13351,64,42
13345,27,53
4525,407,869
16778,628,907
1892229,0,1
13374,307,540
29335,965,1084
4715,155,217
1878,209,335
12415,75,147
4666,108,104
12308,28,33
12459,4,6
15884,84,74
12146,8,86
17416,95,142
1940825,0,2
12050,369,438
16492,23,53
14688,188,291
1894465,4,7
4769,69,267
1901264,15,8
24996,96,470
29957,8,78
6287,14,19
1726,43,16
1532,41,205
24728,10,26
9814,3,2
1918314,10,22
4550,26,187
5961,136,532
1994,22,40
1890573,20,38
9135,0,1
1206616,12,28
1887363,0,9
3686,215,214
34391,44,126
40590,7,16
55085,0,4
38930,3,16
40115,1,12
1206532,0,2
55433,1,4
37620,25,61
33837,2,8
36254,16,24
41570,10,30
54560,2,1
41583,5,11
25770,14,21
13945,20,56
22941,0,9
14594,31,62
9634,13,75
2478,4,64
1448,7,18
6441,105,365
1559464,346,1672
1900067,0,5
22844,9,20
26349,3,14
3333,90,680
9754,25,161
1098,67,47
2112,17,101
29983,11,20
62267,3,3
2078,20,4
16067,62,275
3339,14,3
1763,253,82
999,92,20
1210940,5,0
18648,33,21
3503,54,19
53940,4,3
3269420,1,0
3625,24,32
3943,56,180
29901,2,13
34988,1,5
1930477,1,2
1914617,15,9
1916872,7,5
809,331,380
2594,57,16
2953,3,8
2154,16,93
44463,2,4
61013,40,229
24859,53,431
638,1,20
1122,76,411
14208,3,15
1558,203,115
2575,20,24
3038,22,43
23072,43,256
4540,117,298
10883,7,93
7161,18,7
8768,1,2
2244,106,221
9058,3,69
40645,10,33
1935972,0,41
64774,0,28
1519634,0,12
62135,0,1
3445908,0,56
989,183,157
1245,142,1618
11531,16,271
33340,0,42
32608,18,142
26153,15,179
26149,79,768
19634,12,37
35598,0,7
26155,27,358
1887883,0,3
1905377,452,1055
2388,0,9
1644,10,44
1606,9,99
26413,6,35
6632,531,1790
29519,51,139
29533,24,65
12261,22,60
16380,2,18
17317,26,72
16596,42,57
24820,30,38
24829,34,101
29536,26,28
32085,1,6
13450,112,108
29571,3,17
29520,9,10
64751,81,89
29517,6,11
25666,0,2
29576,32,52
29554,24,40
29529,119,174
29511,13,46
10581,36,41
17301,204,474
32911,10,31
831,163,181
1925958,24,188
1935631,2,1
1925904,11,25
1553179,394,425
7138,11,117
6353,28,30
40100,3,8
1523,9,7
36350,22,23
33807,3,5
750,424,206
8885,6,4
59721,2,40
19183,59,240
54674,0,1
53864,6,5
1887101,0,2
35806,15,22
35660,28,46
52570,10,26
40071,2,14
50943,6,67
126522,63,75
3124,63,285
18293,13,34
1196387,8,134
7242,59,243
722,305,1317
24860,89,352
859,6,49
13291,31,199
1902547,0,3
7219,182,630
1072,192,210
19251,1,10
13288,102,187
30330,4,72
1629,101,71
16863,168,287
2236,11,5
3448721,3,0
6778,84,98
1200810,1,3
55122,2,6
1887166,4,9
52344,4,6
50747,3,16
62479,15,57
4543,58,144
1614959,10,6
4214,48,162
3423798,5,28
3225,73,168
11614,1,8
6303,1,0
37974,3,3
24292,1,1
26195,16,15
30768,116,120
34633,2,1
83332,47,2
24434,63,269
12159,129,292
26807,20,20
32296,53,27
33762,1,16
25453,19,11
32374,38,12
34410,11,0
3043,8,32
26322,25,0
11967,22,11
12507,136,177
1898752,21,0
31263,24,40
35461,49,156
25669,167,250
2066,13,45
25703,622,1683
33769,1,0
128843,2,7
61696,1,2
2684,4,48
13640,7,50
124135,2,3
16072,26,58
55812,2,14
87343,11,9
130004,1,0
5888,7,1
36459,7,7
71838,1,0
